,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,income_encoded
22466,40,Private,225193,HS-grad,9,Married,Handlers-cleaners,Husband,White,Male,0,0,63,United-States,<=50K,0
47930,21,Private,133375,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,48,United-States,<=50K,0
15417,51,Self-emp-not-inc,136836,Assoc-acdm,12,Divorced,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50K,0
23472,31,Private,329874,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
3385,44,Private,265266,10th,6,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,0
5420,45,Private,26781,HS-grad,9,Married,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,0
35276,26,Private,156848,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K,0
25984,41,Local-gov,201435,HS-grad,9,Married,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K,0
12087,42,Private,112181,HS-grad,9,Married,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K,0
26046,36,Private,90897,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
35984,22,Self-emp-not-inc,249046,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K,0
36711,64,Private,96076,Masters,14,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1
46082,28,Private,228075,Some-college,10,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,0
12407,71,State-gov,210673,HS-grad,9,Married,Protective-serv,Husband,White,Male,0,0,28,United-States,<=50K,0
25882,40,Private,64980,Some-college,10,Married,Adm-clerical,Husband,Black,Male,0,0,55,United-States,>50K,1
525,28,Private,85812,Some-college,10,Married,Sales,Wife,White,Female,0,0,40,United-States,<=50K,0
37747,21,Private,153542,10th,6,Married,Farming-fishing,Husband,White,Male,0,0,30,United-States,<=50K,0
38769,40,Private,171589,Bachelors,13,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,1
12086,66,Private,167711,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,>50K,1
41275,27,Private,26326,Assoc-voc,11,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K,0
19488,32,Private,328199,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,0
